Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF/16V,CP_Elec_6.3x7.7,21.6,-109.4,180,top
C2,100nF,C_0805_2012Metric,23.5,-115.2,0,top
C3,10nF,C_0805_2012Metric,-9.5,-145.4,0,top
C4,10nF,C_0805_2012Metric,-18.2,-145.1,180,top
C5,100uF/16V,CP_Elec_6.3x7.7,17.4,-123.6,270,top
C7,100nF,C_0805_2012Metric,14.8,-112.85,90,top
C9,100nF,C_0805_2012Metric,60,-130.2,180,top
C10,10nF,C_0805_2012Metric,-11.95,-141.7,0,top
C11,47nF,C_0805_2012Metric,-20.1,-134.9,180,top
C12,100nF,C_0805_2012Metric,-34.85,-123.4,0,top
C13,100uF/16V,CP_Elec_6.3x7.7,2.2,-130.9,0,top
C14,100nF,C_0805_2012Metric,38.5,-127.1,0,top
C15,2.2nF,C_0805_2012Metric,-10.9,-138.7,90,top
C16,10uF/16V,CP_Elec_4x5.4,36.3,-122.6,0,top
C17,100nF,C_0805_2012Metric,34.5,-127.2,0,top
C18,100nF,C_0805_2012Metric,1.3,-137,270,top
C19,10nF,C_0805_2012Metric,-16.3,-131.1,180,top
C20,47nF,C_0805_2012Metric,-8.8,-130.8,270,top
C21,100nF,C_0805_2012Metric,0.2,-146.7,0,top
C22,100nF,C_0805_2012Metric,-31,-128,180,top
C23,10uF/16V,CP_Elec_4x5.4,-0.5,-142.2,0,top
C24,100nF,C_0805_2012Metric,-34.8,-128,0,top
C25,100nF,C_0805_2012Metric,-26.1,-127.8,0,top
C26,100nF,C_0805_2012Metric,-18.2,-126,0,top
C27,100nF,C_0805_2012Metric,-14.9,-116.1,0,top
C28,470nF,C_0805_2012Metric,-10.4,-122.4,180,top
C29,470nF,C_0805_2012Metric,-10.4,-125.1,0,top
C30,470nF,C_0805_2012Metric,-10.4,-119.7,180,top
C31,470nF,C_0805_2012Metric,-10.5,-116.6,0,top
C32,1nF,C_0805_2012Metric,-4.1,-109.9,180,top
C33,1nF,C_0805_2012Metric,-5.5,-126.7,180,top
C34,100nF,C_0805_2012Metric,-8.1,-112.8,180,top
C35,1uF,C_0805_2012Metric,-4.1,-106.7,0,top
C36,1uF,C_0805_2012Metric,-5.5,-129.4,0,top
C37,100nF,C_0805_2012Metric,-20.8,-138.8,270,top
C38,100nF,C_0805_2012Metric,-34.75,-145.6,0,top
C39,100pF,C_0805_2012Metric,-19.8,-154.8,180,top
C40,12pF,C_0805_2012Metric,-18.1,-148.5,180,top
C41,180pF,C_0805_2012Metric,-15.9,-154.9,0,top
C42,56pF,C_0805_2012Metric,-13.1,-148.5,180,top
C43,150pF,C_0805_2012Metric,-12.1,-154.8,180,top
C44,39pF,C_0805_2012Metric,-9,-148.4,180,top
C45,56pF,C_0805_2012Metric,-7.9,-154.8,0,top
C46,22uF,C_0805_2012Metric,-43.2,-133.8,270,top
C47,22uF,C_0805_2012Metric,-53.3,-143.8,270,top
C48,100uF/50V,CP_Elec_6.3x7.7,48.2,-100,180,top
C49,100uF/16V,CP_Elec_6.3x7.7,53.11,-87.99,90,top
C50,100nF,C_0805_2012Metric,46.9,-90.2,270,top
C51,1000uF/16V,CP_Elec_10x10.5,34.8,-113.7,180,top
D1,BAS70-04,SOT23,-7.9,-139.1,180,top
D2,1N4148,D_SOD-123,-34.5,-136,0,top
D3,1N4148,D_SOD-123,-34.4,-140.2,0,top
D4,1N5817,D_SOD-123,-53.2,-138.7,90,top
D5,SS34,D_SMA,56,-97.8,90,top
D7,SS34,D_SMA,58,-103.9,0,top
J4,USB_PWR,USB_Mini-B_Lumberg_2486_01_Horizontal,41.8,-83.5,180,top
L1,100uH,L_0805_2012Metric,18.9,-115.1,0,top
L3,100uH,L_0805_2012Metric,-1.8,-137,270,top
L4,330nH,L_1210_3225Metric,-17.8,-151.7,0,top
L5,270nH,L_1008_2520Metric,-13.1,-151.6,0,top
L6,270nH,L_1008_2520Metric,-8.5,-151.7,0,top
L7,22uH,SubW_PWR_INDUCTOR,-49.3,-131.9,180,top
L8,100uH,L_Bourns-SRN8040_8x8.15mm-MOD2,47.9,-111.2,270,top
Q1,BSS123,SOT-23-3,-14,-144.9,180,top
Q2,BFR93,SOT-323_SC-70,-13.9,-134.3,180,top
R1,1k,R_0805_2012Metric,-8.2,-143.1,0,top
R2,100k,R_0805_2012Metric,-8.7,-135.2,90,top
R3,470,R_0805_2012Metric,-16.3,-136.8,0,top
R4,100,R_0805_2012Metric,-13.2,-138.7,90,top
R5,22,R_0805_2012Metric,-10.9,-135.2,90,top
R6,680,R_0805_2012Metric,-12.5,-131.5,180,top
R7,4.7k,R_0805_2012Metric,-25.7,-135.5,180,top
R8,33,R_0805_2012Metric,-17.1,-134,90,top
R9,4.7k,R_0805_2012Metric,-29.6,-135.4,0,top
R10,1k,R_0805_2012Metric,-18.2,-128.5,0,top
R11,10k,R_0805_2012Metric,-19.4,-131.9,90,top
R12,10k,R_0805_2012Metric,-21.2,-127.7,90,top
R13,2.7k,R_0805_2012Metric,-4.1,-112.8,180,top
R14,2.7k,R_0805_2012Metric,-5.5,-124.2,180,top
R15,3.9k,R_0805_2012Metric,-45.1,-141.1,180,top
R16,1.2k,R_0805_2012Metric,-46.5,-144.3,0,top
R18,3.9k,R_0805_2012Metric,6.7,-125.3,0,top
R19,12k,R_0805_2012Metric,-50.2,-144.3,0,top
U1,BF998,BF998,-16.2,-140.1,270,top
U2,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,60,-124.3,180,top
U3,SN74ACT74DR,SOIC-14_3.9x8.7mm_P1.27mm,-28.6,-119.4,0,top
U4,Si5351A,MSOP-10_3x3mm_P0.5mm,-27.1,-131.8,0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,26.7,-123.9,0,top
U7,3253,TSSOP-16_4.4x5mm_P0.65mm,-17.6,-120.6,0,top
U8,LM4562,SOIC-8_3.9x4.9mm_P1.27mm,-4.2,-118.6,90,top
U10,74ACT244,TSSOP-20_4.4x6.5mm_P0.65mm,-27.2,-140.9,0,top
U11,MT3608,SOT-23-6,-48.6,-137.9,0,top
U12,LM2576S-5,TO-263-5_TabPin3,63.4,-112.4,0,top
Y1,26Mhz,Crystal_SMD_2520-4Pin_2.5x2.0mm,-34.1,-131.9,0,top
